OBJECT_NAME,OBJECT_IDENTIFIER,OBJECT_DATA_TYPE,OBJECT_PREMISSIONS,OBJECT_CLASS,OBJECT_NODE_TYPE,OBJECT_DESCRIPTION
airIRSCGroupConfigFanSpeedControl,1.3.6.1.4.1.318.1.1.13.3.4.2.3.6,airirscfanspeedcontrol,read-write,objecttype,scalar,"The group fan speed control."
airIRGen2,1.3.6.1.4.1.318.1.1.13.4,,,objectidentity,,""
airIRG2Ident,1.3.6.1.4.1.318.1.1.13.4.1,,,objectidentity,,""
airIRG2IdentName,1.3.6.1.4.1.318.1.1.13.4.1.1,displaystring,read-write,objecttype,scalar,"A character string identifying the unit name."
airIRG2IdentLocation,1.3.6.1.4.1.318.1.1.13.4.1.2,displaystring,read-write,objecttype,scalar,"A character string identifying the unit location."
airIRG2IdentModelNumber,1.3.6.1.4.1.318.1.1.13.4.1.3,displaystring,read-only,objecttype,scalar,"A character string identifying the unit model number."
airIRG2IdentSerialNumber,1.3.6.1.4.1.318.1.1.13.4.1.4,displaystring,read-only,objecttype,scalar,"A character string identifying the unit serial number."
airIRG2IdentFirmwareRevision,1.3.6.1.4.1.318.1.1.13.4.1.5,displaystring,read-only,objecttype,scalar,"A character string identifying the unit firmware version."
airIRG2IdentHardwareRevision,1.3.6.1.4.1.318.1.1.13.4.1.6,displaystring,read-only,objecttype,scalar,"A character string identifying the unit controller hardware revision."
airIRG2IdentManufactureDate,1.3.6.1.4.1.318.1.1.13.4.1.7,displaystring,read-only,objecttype,scalar,"A character string identifying the unit manufacture date."
airIRG2IdentUnitSysOID,1.3.6.1.4.1.318.1.1.13.4.1.8,object identifier,read-only,objecttype,scalar,"This OID contains an OID path to the device's top level unit data."
airIRG2IdentGroupSysOID,1.3.6.1.4.1.318.1.1.13.4.1.9,object identifier,read-only,objecttype,scalar,"This OID contains an OID path to the device's top level group data."
airIRG2Group,1.3.6.1.4.1.318.1.1.13.4.2,,,objectidentity,,""
airIRG2GroupStatus,1.3.6.1.4.1.318.1.1.13.4.2.1,,,objectidentity,,""
airIRG2GroupStatusCoolOutput,1.3.6.1.4.1.318.1.1.13.4.2.1.1,integer,read-only,objecttype,scalar,"The group cooling output in tenths of kilowatts (kW)."
airIRG2GroupStatusCoolDemand,1.3.6.1.4.1.318.1.1.13.4.2.1.2,integer,read-only,objecttype,scalar,"The group cooling demand in tenths of kilowatts (kW)."
airIRG2GroupStatusAirFlowUS,1.3.6.1.4.1.318.1.1.13.4.2.1.3,integer,read-only,objecttype,scalar,"The group air flow in cubic feet per minute."
airIRG2GroupStatusAirFlowMetric,1.3.6.1.4.1.318.1.1.13.4.2.1.4,integer,read-only,objecttype,scalar,"The group air flow in hundredths of liters per second."
airIRG2GroupStatusMaxRackInletTempUS,1.3.6.1.4.1.318.1.1.13.4.2.1.5,integer,read-only,objecttype,scalar,"The group maximum rack inlet temperature in tenths of degrees Fahrenheit."
airIRG2GroupStatusMaxRackInletTempMetric,1.3.6.1.4.1.318.1.1.13.4.2.1.6,integer,read-only,objecttype,scalar,"The group maximum rack inlet temperature in tenths of degrees Celsius."
airIRG2GroupStatusMinRackInletTempUS,1.3.6.1.4.1.318.1.1.13.4.2.1.7,integer,read-only,objecttype,scalar,"The group minimum rack inlet temperature in tenths of degrees Fahrenheit."
airIRG2GroupStatusMinRackInletTempMetric,1.3.6.1.4.1.318.1.1.13.4.2.1.8,integer,read-only,objecttype,scalar,"The group minimum rack inlet temperature in tenths of degrees Celsius."
airIRG2GroupStatusMaxReturnAirTempUS,1.3.6.1.4.1.318.1.1.13.4.2.1.9,integer,read-only,objecttype,scalar,"The group maximum return air temperature in tenths of degrees Fahrenheit."
airIRG2GroupStatusMaxReturnAirTempMetric,1.3.6.1.4.1.318.1.1.13.4.2.1.10,integer,read-only,objecttype,scalar,"The group maximum return air temperature in tenths of degrees Celsius."
airIRG2GroupStatusMinReturnAirTempUS,1.3.6.1.4.1.318.1.1.13.4.2.1.11,integer,read-only,objecttype,scalar,"The group minimum return air temperature in tenths of degrees Fahrenheit."
airIRG2GroupStatusMinReturnAirTempMetric,1.3.6.1.4.1.318.1.1.13.4.2.1.12,integer,read-only,objecttype,scalar,"The group minimum return air temperature in tenths of degrees Celsius."
airIRG2GroupSetpoints,1.3.6.1.4.1.318.1.1.13.4.2.2,,,objectidentity,,""
airIRG2GroupSetptsCoolSetpointUS,1.3.6.1.4.1.318.1.1.13.4.2.2.1,integer,read-write,objecttype,scalar,"Group cooling setpoint in tenths of degrees Fahrenheit."
airIRG2GroupSetptsCoolSetpointMetric,1.3.6.1.4.1.318.1.1.13.4.2.2.2,integer,read-write,objecttype,scalar,"Group cooling setpoint in tenths of degrees Celsius."
airIRG2GroupSetptsCoolDeadbandUS,1.3.6.1.4.1.318.1.1.13.4.2.2.3,integer,read-write,objecttype,scalar,"Group cooling deadband in tenths of degrees Fahrenheit."
airIRG2GroupSetptsCoolDeadbandMetric,1.3.6.1.4.1.318.1.1.13.4.2.2.4,integer,read-write,objecttype,scalar,"Group cooling deadband in tenths of degrees Celsius."
airIRG2GroupSetptsFanSpeedPreference,1.3.6.1.4.1.318.1.1.13.4.2.2.5,integer,read-write,objecttype,scalar,"The group preferred fan speed setting."
airIRG2GroupSetptsSupplyAirSetpointUS,1.3.6.1.4.1.318.1.1.13.4.2.2.6,integer,read-write,objecttype,scalar,"Group supply air setpoint in tenths of degrees Fahrenheit."
airIRG2GroupSetptsSupplyAirSetpointMetric,1.3.6.1.4.1.318.1.1.13.4.2.2.7,integer,read-write,objecttype,scalar,"Group supply air setpoint in tenths of degrees Celsius."
airIRG2GroupConfig,1.3.6.1.4.1.318.1.1.13.4.2.3,,,objectidentity,,""
airIRG2GroupConfigNumberofCoolingUnits,1.3.6.1.4.1.318.1.1.13.4.2.3.1,integer,read-write,objecttype,scalar,"The number of cooling units."
airIRG2GroupConfigConfigurationType,1.3.6.1.4.1.318.1.1.13.4.2.3.2,integer,read-write,objecttype,scalar,"The group configuration type."
airIRG2GroupConfigCapacityControlType,1.3.6.1.4.1.318.1.1.13.4.2.3.3,integer,read-write,objecttype,scalar,"The group capacity control."
airIRG2GroupConfigFanSpeedControl,1.3.6.1.4.1.318.1.1.13.4.2.3.4,integer,read-write,objecttype,scalar,"The group fan speed control."
airIRG2GroupConfigCoolGainP,1.3.6.1.4.1.318.1.1.13.4.2.3.5,integer,read-write,objecttype,scalar,"The gain component of the PID in hundredths."
airIRG2GroupConfigCoolResetRateI,1.3.6.1.4.1.318.1.1.13.4.2.3.6,integer,read-write,objecttype,scalar,"The integral component of the PID in hundredths."
airIRG2GroupConfigCoolDerivativeD,1.3.6.1.4.1.318.1.1.13.4.2.3.7,integer,read-write,objecttype,scalar,"The derivative component of the PID in hundredths."
airIRG2GroupConfigCoolPIDReset,1.3.6.1.4.1.318.1.1.13.4.2.3.8,integer,read-write,objecttype,scalar,"Will reset the PID coefficients back to the factory defaults."
airIRG2GroupConfigNumberofBackupUnits,1.3.6.1.4.1.318.1.1.13.4.2.3.9,integer,read-write,objecttype,scalar,"The number of backup units."
airIRG2GroupConfigRuntimeBalancingEnable,1.3.6.1.4.1.318.1.1.13.4.2.3.10,integer,read-write,objecttype,scalar,"Enable or disable runtime balancing feature."
airIRG2GroupConfigLoadAssistEnable,1.3.6.1.4.1.318.1.1.13.4.2.3.11,integer,read-write,objecttype,scalar,"Enable or disable load assist feature."
airIRG2Alarms,1.3.6.1.4.1.318.1.1.13.4.3,,,objectidentity,,""
airIRG2AlarmsTableSize,1.3.6.1.4.1.318.1.1.13.4.3.1,integer,read-only,objecttype,scalar,"The number of active alarms in the airIRG2AlarmsTable."
airIRG2AlarmsTable,1.3.6.1.4.1.318.1.1.13.4.3.2,,no-access,objecttype,table,"Table of active alarms for the device."
airIRG2AlarmsEntry,1.3.6.1.4.1.318.1.1.13.4.3.2.1,,no-access,objecttype,row,"Alarms specification"
airIRG2AlarmsIndex,1.3.6.1.4.1.318.1.1.13.4.3.2.1.1,integer,read-only,objecttype,column,"Alarm index."
airIRG2AlarmsEventCode,1.3.6.1.4.1.318.1.1.13.4.3.2.1.2,integer,read-only,objecttype,column,"Code for the alarm."
airIRG2AlarmsDescription,1.3.6.1.4.1.318.1.1.13.4.3.2.1.3,displaystring,read-only,objecttype,column,"Description of the alarm."
airIRG2RC,1.3.6.1.4.1.318.1.1.13.4.4,,,objectidentity,,""
airIRG2RD,1.3.6.1.4.1.318.1.1.13.4.5,,,objectidentity,,""
airIRG2RDType1,1.3.6.1.4.1.318.1.1.13.4.5.1,,,objectidentity,,""
airIRG2RDType2,1.3.6.1.4.1.318.1.1.13.4.5.2,,,objectidentity,,""
airIRG2RDT2Status,1.3.6.1.4.1.318.1.1.13.4.5.2.1,,,objectidentity,,""
airIRG2RDT2StatusOperateMode,1.3.6.1.4.1.318.1.1.13.4.5.2.1.1,integer,read-only,objecttype,scalar,"The cooling unit operating mode."
airIRG2RDT2StatusCoolOutput,1.3.6.1.4.1.318.1.1.13.4.5.2.1.2,integer,read-only,objecttype,scalar,"The unit cooling output in tenths of kilowatts (kW)."
airIRG2RDT2StatusCoolDemand,1.3.6.1.4.1.318.1.1.13.4.5.2.1.3,integer,read-only,objecttype,scalar,"The unit cooling demand in tenths of kilowatts (kW)."
airIRG2RDT2StatusAirFlowUS,1.3.6.1.4.1.318.1.1.13.4.5.2.1.4,integer,read-only,objecttype,scalar,"The unit air flow in cubic feet per minute."
airIRG2RDT2StatusAirFlowMetric,1.3.6.1.4.1.318.1.1.13.4.5.2.1.5,integer,read-only,objecttype,scalar,"The unit air flow in hundredths of liters per second."
airIRG2RDT2StatusRackInletTempUS,1.3.6.1.4.1.318.1.1.13.4.5.2.1.6,integer,read-only,objecttype,scalar,"The unit rack inlet temperature in tenths of degrees Fahrenheit."
airIRG2RDT2StatusRackInletTempMetric,1.3.6.1.4.1.318.1.1.13.4.5.2.1.7,integer,read-only,objecttype,scalar,"The unit rack inlet temperature in tenths of degrees Celsius."
airIRG2RDT2StatusSupplyAirTempUS,1.3.6.1.4.1.318.1.1.13.4.5.2.1.8,integer,read-only,objecttype,scalar,"The unit supply air temperature in tenths of degrees Fahrenheit."
airIRG2RDT2StatusSupplyAirTempMetric,1.3.6.1.4.1.318.1.1.13.4.5.2.1.9,integer,read-only,objecttype,scalar,"The unit supply air temperature in tenths of degrees Celsius."
airIRG2RDT2StatusReturnAirTempUS,1.3.6.1.4.1.318.1.1.13.4.5.2.1.10,integer,read-only,objecttype,scalar,"The unit return air temperature in tenths of degrees Fahrenheit."
airIRG2RDT2StatusReturnAirTempMetric,1.3.6.1.4.1.318.1.1.13.4.5.2.1.11,integer,read-only,objecttype,scalar,"The unit return air temperature in tenths of degrees Celsius."
airIRG2RDT2StatusSuctionTempUS,1.3.6.1.4.1.318.1.1.13.4.5.2.1.12,integer,read-only,objecttype,scalar,"The unit suction temperature in tenths of degrees Fahrenheit."
airIRG2RDT2StatusSuctionTempMetric,1.3.6.1.4.1.318.1.1.13.4.5.2.1.13,integer,read-only,objecttype,scalar,"The unit suction temperature in tenths of degrees Celsius."
airIRG2RDT2StatusSuperheatTempUS,1.3.6.1.4.1.318.1.1.13.4.5.2.1.14,integer,read-only,objecttype,scalar,"The unit superheat temperature in tenths of degrees Fahrenheit."
airIRG2RDT2StatusSuperheatTempMetric,1.3.6.1.4.1.318.1.1.13.4.5.2.1.15,integer,read-only,objecttype,scalar,"The unit superheat temperature in tenths of degrees Celsius."
airIRG2RDT2StatusFilterDPUS,1.3.6.1.4.1.318.1.1.13.4.5.2.1.16,integer,read-only,objecttype,scalar,"The unit air filter differential pressure in hundredths of inches of water."
airIRG2RDT2StatusFilterDPMetric,1.3.6.1.4.1.318.1.1.13.4.5.2.1.17,integer,read-only,objecttype,scalar,"The unit air filter differential pressure in pascals (Pa)."
airIRG2RDT2StatusSuctionPressureUS,1.3.6.1.4.1.318.1.1.13.4.5.2.1.18,integer,read-only,objecttype,scalar,"Unit suction pressure in pounds per square inch (PSI)."
airIRG2RDT2StatusSuctionPressureMetric,1.3.6.1.4.1.318.1.1.13.4.5.2.1.19,integer,read-only,objecttype,scalar,"Unit suction pressure in kiloPascals (kPa)."
airIRG2RDT2StatusDischargePressureUS,1.3.6.1.4.1.318.1.1.13.4.5.2.1.20,integer,read-only,objecttype,scalar,"Unit discharge pressure in pounds per square inch (PSI)."
airIRG2RDT2StatusDischargePressureMetric,1.3.6.1.4.1.318.1.1.13.4.5.2.1.21,integer,read-only,objecttype,scalar,"Unit discharge pressure in kiloPascals (kPa)."
airIRG2RDT2StatusEvaporatorFanSpeed,1.3.6.1.4.1.318.1.1.13.4.5.2.1.22,integer,read-only,objecttype,scalar,"The unit average evaporator fan speed in tenths of percent."
airIRG2RDT2StatusInputState,1.3.6.1.4.1.318.1.1.13.4.5.2.1.23,airirg2rdtype2iostate,read-only,objecttype,scalar,"The state of the input contact."
airIRG2RDT2StatusOutputState,1.3.6.1.4.1.318.1.1.13.4.5.2.1.24,airirg2rdtype2iostate,read-only,objecttype,scalar,"The state of the output relay."
airIRG2RDT2StatusOHEInputState,1.3.6.1.4.1.318.1.1.13.4.5.2.1.25,airirg2rdtype2iostate,read-only,objecttype,scalar,"The state of the outside heat exchanger(OHE) input contact."
airIRG2RDT2StatusOHEOutputState,1.3.6.1.4.1.318.1.1.13.4.5.2.1.26,airirg2rdtype2iostate,read-only,objecttype,scalar,"The state of the outside heat exchanger(OHE) output relay."
airIRG2RDT2StatusCompressor,1.3.6.1.4.1.318.1.1.13.4.5.2.1.27,integer,read-only,objecttype,scalar,"The state (off/on) of the compressor."
airIRG2RDT2StatusFluidValvePos,1.3.6.1.4.1.318.1.1.13.4.5.2.1.28,integer,read-only,objecttype,scalar,"The position of the fluid valve in percent. This OID is only valid when airIRG2RDT2ConfigUnitType indicates fluidCooled(1)."
airIRG2RDT2StatusHotGasBypassValvePos,1.3.6.1.4.1.318.1.1.13.4.5.2.1.29,integer,read-only,objecttype,scalar,"The position of the hot gas bypass valve in hundredths of percent."
airIRG2RDT2RunHours,1.3.6.1.4.1.318.1.1.13.4.5.2.2,,,objectidentity,,""
airIRG2RDT2RunHoursAirFilter,1.3.6.1.4.1.318.1.1.13.4.5.2.2.1,integer,read-only,objecttype,scalar,"Unit air filter run hours."
airIRG2RDT2RunHoursCondensatePump,1.3.6.1.4.1.318.1.1.13.4.5.2.2.2,integer,read-only,objecttype,scalar,"Unit condensate pump run hours."
airIRG2RDT2RunHoursCompressor,1.3.6.1.4.1.318.1.1.13.4.5.2.2.3,integer,read-only,objecttype,scalar,"Unit compressor run hours."
airIRG2RDT2RunHoursFanPSTableSize,1.3.6.1.4.1.318.1.1.13.4.5.2.2.4,integer,read-only,objecttype,scalar,"The number of entries in the run hour fan power supply table (airIRG2RDT2RunHoursFanPSTable)."
airIRG2RDT2RunHoursFanPSTable,1.3.6.1.4.1.318.1.1.13.4.5.2.2.5,,no-access,objecttype,table,"Allows for getting run hour information from each power supply."
airIRG2RDT2RunHoursFanPSEntry,1.3.6.1.4.1.318.1.1.13.4.5.2.2.5.1,,no-access,objecttype,row,"The run hours fan power supply table entry."
airIRG2RDT2RunHoursFanPSIndex,1.3.6.1.4.1.318.1.1.13.4.5.2.2.5.1.1,integer,read-only,objecttype,column,"Index of run hours fan power supply table."
airIRG2RDT2RunHoursFanPSHours,1.3.6.1.4.1.318.1.1.13.4.5.2.2.5.1.2,integer,read-only,objecttype,column,"Fan power supply run time in hours."
airIRG2RDT2RunHoursFanPSPosition,1.3.6.1.4.1.318.1.1.13.4.5.2.2.5.1.3,integer,read-only,objecttype,column,"Position of fan power supply within the unit."
airIRG2RDT2RunHoursEvapFanTableSize,1.3.6.1.4.1.318.1.1.13.4.5.2.2.6,integer,read-only,objecttype,scalar,"The number of entries in the run hour evaporator fan table (airIRG2RDT2RunHoursEvapFanTable)."
airIRG2RDT2RunHoursEvapFanTable,1.3.6.1.4.1.318.1.1.13.4.5.2.2.7,,no-access,objecttype,table,"Allows for getting information from each evaporator fan run hour in the system. "
airIRG2RDT2RunHoursEvapFanEntry,1.3.6.1.4.1.318.1.1.13.4.5.2.2.7.1,,no-access,objecttype,row,"Allows for getting information from each evaporator fan run hour in the system. "
airIRG2RDT2RunHoursEvapFanIndex,1.3.6.1.4.1.318.1.1.13.4.5.2.2.7.1.1,integer,read-only,objecttype,column,"Index of run hours evaporator fan table."
airIRG2RDT2RunHoursEvapFanHours,1.3.6.1.4.1.318.1.1.13.4.5.2.2.7.1.2,integer,read-only,objecttype,column,"Evaporator fan run time in hours."
airIRG2RDT2RunHoursUnit,1.3.6.1.4.1.318.1.1.13.4.5.2.2.8,integer,read-only,objecttype,scalar,"Unit run time in hours."
airIRG2RDT2ServiceIntervals,1.3.6.1.4.1.318.1.1.13.4.5.2.3,,,objectidentity,,""
airIRG2RDT2ServiceIntervalsAirFilter,1.3.6.1.4.1.318.1.1.13.4.5.2.3.1,integer,read-write,objecttype,scalar,"Air filter service interval in weeks."
airIRG2RDT2ServiceIntervalsAirFilterAlarm,1.3.6.1.4.1.318.1.1.13.4.5.2.3.2,integer,read-write,objecttype,scalar,"The air filter service interval alarm enable/disable."
airIRG2RDT2Thresholds,1.3.6.1.4.1.318.1.1.13.4.5.2.4,,,objectidentity,,""
airIRG2RDT2ThresholdsRackInletHighTempUS,1.3.6.1.4.1.318.1.1.13.4.5.2.4.1,integer,read-write,objecttype,scalar,"Unit rack inlet air high temperature threshold in tenths of degrees Fahrenheit."
airIRG2RDT2ThresholdsRackInletHighTempMetric,1.3.6.1.4.1.318.1.1.13.4.5.2.4.2,integer,read-write,objecttype,scalar,"Unit rack inlet air high temperature threshold in tenths of degrees Celsius."
airIRG2RDT2ThresholdsSupplyAirHighTempUS,1.3.6.1.4.1.318.1.1.13.4.5.2.4.3,integer,read-write,objecttype,scalar,"Unit supply air high temperature threshold in tenths of degrees Fahrenheit."
airIRG2RDT2ThresholdsSupplyAirHighTempMetric,1.3.6.1.4.1.318.1.1.13.4.5.2.4.4,integer,read-write,objecttype,scalar,"Unit supply air high temperature threshold in tenths of degrees Celsius."
airIRG2RDT2ThresholdsReturnAirHighTempUS,1.3.6.1.4.1.318.1.1.13.4.5.2.4.5,integer,read-write,objecttype,scalar,"Unit return air high temperature threshold in tenths of degrees Fahrenheit."
airIRG2RDT2ThresholdsReturnAirHighTempMetric,1.3.6.1.4.1.318.1.1.13.4.5.2.4.6,integer,read-write,objecttype,scalar,"Unit return air high temperature threshold in tenths of degrees Celsius."
airIRG2RDT2Setpoints,1.3.6.1.4.1.318.1.1.13.4.5.2.5,,,objectidentity,,""
airIRG2RDT2Config,1.3.6.1.4.1.318.1.1.13.4.5.2.6,,,objectidentity,,""
airIRG2RDT2ConfigUnitType,1.3.6.1.4.1.318.1.1.13.4.5.2.6.1,integer,read-only,objecttype,scalar,"The type of the unit."
airIRG2RDT2ConfigStartupDelay,1.3.6.1.4.1.318.1.1.13.4.5.2.6.2,integer,read-write,objecttype,scalar,"The startup delay in seconds."
airIRG2RDT2ConfigIdleOnLeakDetect,1.3.6.1.4.1.318.1.1.13.4.5.2.6.3,integer,read-write,objecttype,scalar,"The idle on leak options setting."
airIRG2RDT2ConfigInputNormalState,1.3.6.1.4.1.318.1.1.13.4.5.2.6.4,airirg2rdtype2iostate,read-write,objecttype,scalar,"The normal state of the input contact."
airIRG2RDT2ConfigOutputNormalState,1.3.6.1.4.1.318.1.1.13.4.5.2.6.5,airirg2rdtype2iostate,read-write,objecttype,scalar,"The normal state of the output relay."
airIRG2RDT2ConfigOutputSource,1.3.6.1.4.1.318.1.1.13.4.5.2.6.6,integer,read-write,objecttype,scalar,"The source of output relay change."
airIRG2RDT2ConfigOHEInputNormalState,1.3.6.1.4.1.318.1.1.13.4.5.2.6.7,airirg2rdtype2iostate,read-write,objecttype,scalar,"The normal state of the outside heat exchanger(OHE) input relay."
airIRG2RDT2ConfigUnitRoleOverride,1.3.6.1.4.1.318.1.1.13.4.5.2.6.8,integer,read-write,objecttype,scalar,"When this OID value is (1) automatic, the system determines which units are used as primary units and which units are used as backups. When this OID value is (2) forcedOn, the connected unit is set as a primary unit."
airIRG2RDT2ConfigUnitIdleOnCoolFail,1.3.6.1.4.1.318.1.1.13.4.5.2.6.9,integer,read-write,objecttype,scalar,"When this OID value is (2) yes, the unit idles if it detects that it is blowing warm air into the cold aisle. The unit will attempt to restart at 5 minute intervals."
airIRG2SC,1.3.6.1.4.1.318.1.1.13.4.6,,,objectidentity,,""
airIRG2RA,1.3.6.1.4.1.318.1.1.13.4.7,,,objectidentity,,""
airInRoom,1.3.6.1.4.1.318.1.1.13.5,,,objectidentity,,""
airIRmIdent,1.3.6.1.4.1.318.1.1.13.5.1,,,objectidentity,,""
airIRmIdentName,1.3.6.1.4.1.318.1.1.13.5.1.1,displaystring,read-write,objecttype,scalar,"A character string identifying the unit name."
airIRmIdentLocation,1.3.6.1.4.1.318.1.1.13.5.1.2,displaystring,read-write,objecttype,scalar,"A character string identifying the unit location."
airIRmIdentModelNumber,1.3.6.1.4.1.318.1.1.13.5.1.3,displaystring,read-only,objecttype,scalar,"A character string identifying the unit model number."
airIRmIdentSerialNumber,1.3.6.1.4.1.318.1.1.13.5.1.4,displaystring,read-only,objecttype,scalar,"A character string identifying the unit serial number."
airIRmIdentFirmwareRevision,1.3.6.1.4.1.318.1.1.13.5.1.5,displaystring,read-only,objecttype,scalar,"A character string identifying the unit firmware version."
airIRmIdentHardwareRevision,1.3.6.1.4.1.318.1.1.13.5.1.6,displaystring,read-only,objecttype,scalar,"A character string identifying the unit controller hardware revision."
airIRmIdentManufactureDate,1.3.6.1.4.1.318.1.1.13.5.1.7,displaystring,read-only,objecttype,scalar,"A character string identifying the unit manufacture date."
airIRmIdentSysOID,1.3.6.1.4.1.318.1.1.13.5.1.8,object identifier,read-only,objecttype,scalar,"This OID contains an OID path to the device's top level data."
airIRmAlarms,1.3.6.1.4.1.318.1.1.13.5.2,,,objectidentity,,""
airIRmAlarmsTableSize,1.3.6.1.4.1.318.1.1.13.5.2.1,integer,read-only,objecttype,scalar,"The number of active alarms in the airIRG2AlarmsTable."
airIRmAlarmsTable,1.3.6.1.4.1.318.1.1.13.5.2.2,,no-access,objecttype,table,"Table of active alarms for the device."
airIRmAlarmsEntry,1.3.6.1.4.1.318.1.1.13.5.2.2.1,,no-access,objecttype,row,"Alarms specification"
airIRmAlarmsIndex,1.3.6.1.4.1.318.1.1.13.5.2.2.1.1,integer,read-only,objecttype,column,"Alarm index."
airIRmAlarmsEventCode,1.3.6.1.4.1.318.1.1.13.5.2.2.1.2,integer,read-only,objecttype,column,"Code for the alarm."
airIRmAlarmsDescription,1.3.6.1.4.1.318.1.1.13.5.2.2.1.3,displaystring,read-only,objecttype,column,"Description of the alarm."
airIRmPerimeter,1.3.6.1.4.1.318.1.1.13.5.3,,,objectidentity,,""
airIRmPmCommon1,1.3.6.1.4.1.318.1.1.13.5.3.2,,,objectidentity,,""
airIRmPmUnitType,1.3.6.1.4.1.318.1.1.13.5.3.2.1,integer,read-only,objecttype,scalar,"Unit type (1)."
airIRmPmSwVersion,1.3.6.1.4.1.318.1.1.13.5.3.2.3,displaystring,read-only,objecttype,scalar,"Software version (3)."
airIRmPmBusAddress,1.3.6.1.4.1.318.1.1.13.5.3.2.5,integer,read-only,objecttype,scalar,"Bus addresss of unit (5)."
airIRmPmControllerType,1.3.6.1.4.1.318.1.1.13.5.3.2.7,integer,read-only,objecttype,scalar,"Controller type (7)."
airIRmPmGeneralError,1.3.6.1.4.1.318.1.1.13.5.3.2.8,airirmalarmstate,read-only,objecttype,scalar,"General Error (8)"
airIRmPmErrorOnBus,1.3.6.1.4.1.318.1.1.13.5.3.2.9,airirmalarmstate,read-only,objecttype,scalar,"Error On Bus (9)"
airIRmPmCommon2,1.3.6.1.4.1.318.1.1.13.5.3.3,,,objectidentity,,""
airIRmPmPCStop,1.3.6.1.4.1.318.1.1.13.5.3.3.1,airirmstopstate,read-only,objecttype,scalar,"PC-STOP (1000)"
airIRmPmRemoteStop,1.3.6.1.4.1.318.1.1.13.5.3.3.2,airirmstopstate,read-only,objecttype,scalar,"Remote Stop (1001)"
airIRmPmLocalStop,1.3.6.1.4.1.318.1.1.13.5.3.3.3,airirmstopstate,read-only,objecttype,scalar,"Local Stop (1002)"
airIRmPmTimerStop,1.3.6.1.4.1.318.1.1.13.5.3.3.4,airirmstopstate,read-only,objecttype,scalar,"Timer Stop (1003)"
airIRmPmSeqStop,1.3.6.1.4.1.318.1.1.13.5.3.3.5,airirmstopstate,read-only,objecttype,scalar,"Seq. Stop (1004)"
airIRmPmRemoteUPS,1.3.6.1.4.1.318.1.1.13.5.3.3.7,integer,read-only,objecttype,scalar,"Remote UPS (1006)"
airIRmPmLocalUPS,1.3.6.1.4.1.318.1.1.13.5.3.3.8,airirmactivitystate,read-only,objecttype,scalar,"Local UPS (1007)"
airIRmPmCommonAlarm,1.3.6.1.4.1.318.1.1.13.5.3.3.11,airirmalarmstate,read-only,objecttype,scalar,"Common alarm (1010)."
airIRmPmResetAllAlarms,1.3.6.1.4.1.318.1.1.13.5.3.3.12,integer,read-write,objecttype,scalar,"Reset all alarms control (1011)."
airIRmPmUnitOnOff,1.3.6.1.4.1.318.1.1.13.5.3.3.14,airirmcontrolstate,read-only,objecttype,scalar,"Unit running state (1013)."
airIRmPmMaintenance,1.3.6.1.4.1.318.1.1.13.5.3.3.15,integer,read-only,objecttype,scalar,"Maintenance necessary state (1014)."
airIRmPmUnitTemperatureScale,1.3.6.1.4.1.318.1.1.13.5.3.3.23,integer,read-only,objecttype,scalar,"Current Unit Temperature Scale (1022)."
airIRmPmUnitWinterMode,1.3.6.1.4.1.318.1.1.13.5.3.3.24,integer,read-only,objecttype,scalar,"Winter or summer configuration mode (1023)."
airIRmPmDayNightMode,1.3.6.1.4.1.318.1.1.13.5.3.3.25,integer,read-only,objecttype,scalar,"Day or night configuration mode (1024)."
airIRmPmCommon3,1.3.6.1.4.1.318.1.1.13.5.3.4,,,objectidentity,,""
airIRmPmLastMaintenanceYear,1.3.6.1.4.1.318.1.1.13.5.3.4.1,integer,read-only,objecttype,scalar,"Last maintenance year (1160)."
airIRmPmLastMaintenanceMonth,1.3.6.1.4.1.318.1.1.13.5.3.4.2,integer,read-only,objecttype,scalar,"Last maintenance month (1161)."
airIRmPmLastMaintenanceDay,1.3.6.1.4.1.318.1.1.13.5.3.4.3,integer,read-only,objecttype,scalar,"Last maintenance day (1162)."
airIRmPmUnitMaintenanceInterval,1.3.6.1.4.1.318.1.1.13.5.3.4.4,integer,read-only,objecttype,scalar,"Unit maintenance interval in months (1163)."
airIRmPmRuntimeUnit,1.3.6.1.4.1.318.1.1.13.5.3.4.5,integer,read-only,objecttype,scalar,"Runtime unit in hours (1164)."
airIRmPmStoptimeUnit,1.3.6.1.4.1.318.1.1.13.5.3.4.6,integer,read-only,objecttype,scalar,"Unit stoptime in hours (1165)"
airIRmPmRuntimeCooling,1.3.6.1.4.1.318.1.1.13.5.3.4.7,integer,read-only,objecttype,scalar,"Cooling runtime in hours (1166)"
airIRmPmRuntimeHeating,1.3.6.1.4.1.318.1.1.13.5.3.4.8,integer,read-only,objecttype,scalar,"Heating runtime in hours (1167)"
airIRmPmRuntimeHumidification,1.3.6.1.4.1.318.1.1.13.5.3.4.9,integer,read-only,objecttype,scalar,"Humidification runtime in hours (1168)"
airIRmPmRuntimeDehumidification,1.3.6.1.4.1.318.1.1.13.5.3.4.10,integer,read-only,objecttype,scalar,"Dehumidification runtime in hours (1169)"
airIRmPmUnitTemperature,1.3.6.1.4.1.318.1.1.13.5.3.4.11,,,objectidentity,,""
